Nickname,Email,Gender,Birthyear,Order Date,Total Purchase Amount,Subscription Days,Total Orders,Total Spent,User ID,Food ID,Drink ID,Order ID,Food Quantity,Drink Quantity,Subscription Level,Support Inquiries,Customer Satisfaction,Return Records,Cart Abandon Rate
김현준,minjunbag@live.com,female,2001,2023-01-09,176.13,97,17,1519.3,50,6,38,123,1,8,베이직,10,2,1,0.48
안정자,eunseo01@live.com,male,1993,2023-12-11,250.65,197,9,244.93,35,12,37,210,9,9,베이직,8,3,1,0.22
문은지,sanghungim@nate.com,male,1988,2023-10-28,154.26,125,21,142.62,55,10,23,36,3,2,어드밴스드,0,3,3,0.1
박수진,gimeunju@hanmail.net,male,2002,2022-11-17,150.63,3,6,3661.21,3,14,16,467,6,1,어드밴스드,6,1,2,0.08
이도윤,yunseohyeon@hotmail.com,female,1990,2022-12-25,349.34,40,17,373.59,82,8,25,492,2,3,베이직,1,4,0,0.8
이예은,iogsun@gmail.com,male,2001,2022-10-19,415.06,57,9,1181.62,51,6,43,294,1,4,베이직,0,4,0,0.89
윤영수,yeweon50@live.com,male,1995,2024-05-03,351.93,19,11,3171.26,59,8,20,6,5,9,베이직,8,1,3,0.76
김서연,byeongceol71@hotmail.com,female,1989,2024-02-23,367.52,268,22,3656.0,83,13,20,80,10,4,어드밴스드,8,3,2,0.31
박재현,gimhyeonu@live.com,male,1998,2023-12-29,280.29,237,15,1183.07,61,4,15,220,5,6,프리미엄,1,4,5,0.53
허민수,rbag@hanmail.net,male,1997,2024-04-05,480.25,24,16,3402.54,12,4,18,211,7,1,베이직,5,1,2,0.5
이수민,vgim@naver.com,female,1998,2022-12-10,380.04,262,15,2015.89,91,6,4,253,1,8,어드밴스드,1,5,5,0.48
최정남,jeonghun21@hotmail.com,male,2002,2022-09-10,399.89,141,17,4080.86,55,8,34,88,4,10,어드밴스드,0,1,3,0.73
박수민,gimseongsu@daum.net,male,1994,2023-12-24,100.89,8,9,2722.44,93,14,49,393,2,5,베이직,9,4,0,0.43
최지민,sunja07@naver.com,female,2000,2023-03-27,163.96,73,24,1007.65,64,5,13,427,1,1,베이직,0,4,4,0.68
차도윤,jihun47@daum.net,male,1998,2023-03-06,20.17,270,18,3301.43,89,14,42,563,9,6,베이직,2,4,1,0.58
김진우,eunji50@live.com,female,1991,2022-11-24,151.7,229,4,3293.81,56,13,44,587,8,3,어드밴스드,5,2,0,0.51
오상호,minjaebag@dreamwiz.com,female,2002,2023-06-04,308.25,19,16,613.7,22,9,7,473,1,9,베이직,9,4,5,0.09
이정훈,simyeongsun@naver.com,male,1999,2023-04-24,356.45,329,9,4896.57,15,10,40,497,10,2,어드밴스드,4,1,4,0.76
윤영진,ogim@hotmail.com,male,1990,2023-10-15,105.24,214,21,4147.25,24,9,16,130,10,8,프리미엄,5,2,5,0.3
김주원,xno@live.com,female,1997,2023-05-26,432.11,26,2,2775.55,72,7,40,543,6,7,프리미엄,8,5,1,0.86
백명자,jinu15@nate.com,male,1997,2024-03-03,325.72,13,14,1574.65,30,10,12,261,9,8,프리미엄,1,2,3,0.3
김현우,yeongsug87@gmail.com,male,2002,2023-10-04,439.8,151,1,3232.96,6,12,34,437,1,6,프리미엄,2,5,2,0.38
문영미,hyeonjeongan@naver.com,male,2001,2023-06-30,108.31,271,19,2367.4,84,9,33,186,10,2,베이직,4,4,3,0.63
박민준,ki@hotmail.com,male,2001,2024-01-14,423.54,286,2,1686.23,32,2,49,38,9,2,프리미엄,1,3,3,0.29
이민서,sonboram@dreamwiz.com,male,1991,2022-12-26,147.56,340,10,1278.23,42,5,44,237,3,5,어드밴스드,10,1,3,0.72
김은주,geonuson@daum.net,male,1999,2023-03-28,346.27,303,13,3114.07,10,8,44,145,2,5,프리미엄,6,2,3,0.66
노은정,sugja74@live.com,female,2002,2024-01-12,368.6,39,17,4847.36,56,6,7,123,7,6,프리미엄,7,1,5,0.71
김예진,jeonyeonggil@gmail.com,female,1990,2023-10-24,70.78,226,4,1146.18,58,3,18,514,10,10,프리미엄,2,5,2,0.04
박상호,ebag@naver.com,female,1994,2023-05-13,199.92,309,11,468.02,9,11,18,247,8,3,프리미엄,4,3,5,0.53
박주원,jiu79@nate.com,male,1996,2023-03-13,438.92,218,19,983.14,80,14,6,276,3,9,어드밴스드,10,4,0,0.2
이상현,dbag@daum.net,female,1998,2024-05-31,57.59,268,10,498.21,22,4,27,25,7,8,어드밴스드,9,4,4,0.24
윤영순,tbag@naver.com,female,2002,2023-12-31,94.1,348,11,804.61,59,7,46,222,2,3,어드밴스드,9,3,3,0.91
김준서,bagyeongmi@daum.net,female,2001,2024-03-07,76.73,270,2,398.35,31,12,54,431,6,2,어드밴스드,6,2,1,0.46
이성현,jihun53@gmail.com,female,1994,2023-08-17,205.49,267,17,4100.27,1,13,21,416,6,1,프리미엄,8,1,0,0.98
황지영,tsong@dreamwiz.com,male,1999,2023-08-07,218.01,272,8,1118.6,92,5,29,167,10,9,베이직,0,5,3,0.95
최영호,seojunu@dreamwiz.com,male,1991,2022-11-29,361.53,16,14,1084.74,2,7,42,202,1,3,프리미엄,0,2,0,0.72
손진호,yejun29@gmail.com,female,1999,2024-01-16,50.02,294,24,4055.6,73,4,45,593,8,2,베이직,6,5,5,0.09
이서영,baeggwangsu@naver.com,male,1994,2023-08-18,353.39,201,5,1213.84,93,3,14,164,5,7,어드밴스드,3,3,4,0.38
김윤서,qgweon@live.com,female,1995,2024-01-07,462.55,169,3,4434.22,55,9,32,247,4,3,프리미엄,8,3,5,0.7
김미영,yeongmi91@dreamwiz.com,male,2002,2023-12-26,348.54,269,18,664.85,84,7,43,538,6,3,어드밴스드,5,2,0,0.79
김민재,jongsugim@gmail.com,male,1991,2023-10-14,414.64,72,15,1176.56,62,5,32,161,3,2,베이직,0,4,4,0.38
최정자,wgim@naver.com,female,1998,2022-10-11,95.24,182,11,3479.66,14,12,28,8,4,9,베이직,9,5,0,0.25
김우진,jinumun@daum.net,male,1988,2022-09-19,176.68,198,15,1765.96,44,10,42,9,5,10,베이직,6,1,3,0.06
하지연,eunjian@nate.com,female,1990,2024-06-01,476.16,206,24,2898.29,16,3,11,529,1,9,베이직,10,1,0,0.34
권현정,bagmigyeong@dreamwiz.com,female,2002,2023-07-03,311.44,67,10,2167.81,77,7,23,294,2,3,프리미엄,0,1,5,0.09
양승현,jo@daum.net,male,1994,2023-01-15,159.2,293,22,3260.23,6,4,36,147,2,4,베이직,4,5,2,0.44
김영환,yeongceolcoe@live.com,female,1998,2022-11-13,110.49,54,18,3165.74,81,7,50,164,2,6,베이직,5,3,4,0.82
류건우,chwang@hanmail.net,male,1994,2023-07-18,128.53,214,24,4015.24,67,3,29,404,5,8,프리미엄,1,4,0,0.17
구영수,nahyejin@dreamwiz.com,male,1991,2024-01-25,197.17,186,5,2847.76,60,8,1,261,10,5,베이직,7,2,4,0.82
정정자,sgang@dreamwiz.com,male,2002,2023-11-14,275.61,56,5,4777.06,89,11,8,371,10,3,프리미엄,3,4,4,0.9
백은주,gimdoyun@live.com,male,1990,2023-04-16,184.67,151,16,525.15,74,13,2,413,5,7,어드밴스드,3,4,2,0.34
이하윤,gimjimin@nate.com,male,1992,2023-12-26,116.77,49,24,1290.43,36,5,26,418,3,10,어드밴스드,5,2,1,0.54
이준혁,jangyejin@nate.com,male,1997,2023-09-29,280.72,106,21,526.86,99,1,34,281,8,1,베이직,7,3,2,1.0
이영식,rryu@gmail.com,male,2001,2023-11-28,190.9,56,20,3919.15,88,2,32,369,4,10,어드밴스드,7,2,0,0.66
이진호,ki@hanmail.net,male,1988,2023-06-15,432.61,186,13,774.01,80,8,3,152,4,9,프리미엄,3,5,5,0.47
이현우,mijeong48@hanmail.net,male,1988,2024-04-03,479.53,4,8,2100.99,84,11,25,559,10,9,어드밴스드,6,1,5,1.0
윤지우,gangogsun@hanmail.net,female,1996,2023-07-19,76.77,199,10,3531.56,4,7,51,436,7,8,어드밴스드,1,5,0,0.49
문서준,kmun@naver.com,male,1997,2023-03-11,425.52,255,23,2575.97,50,10,30,52,1,2,프리미엄,3,5,3,0.55
김성민,jiyeonhan@gmail.com,male,2002,2024-04-09,291.69,176,4,453.21,37,8,43,330,5,5,프리미엄,3,3,0,0.4
황정희,cgim@hanmail.net,female,2002,2023-11-22,104.58,102,1,3438.51,45,14,34,234,4,3,베이직,9,3,1,0.75
이윤서,hyejin22@hotmail.com,male,1956,2022-11-05,143.22,289,17,3067.89,363,52,1,859,6,8,베이직,3,4,5,0.21
이예진,gimjeongung@dreamwiz.com,male,2011,2023-06-23,164.16,16,40,524.87,979,27,13,696,3,3,베이직,7,5,5,0.05
전영순,ieunji@live.com,female,2005,2023-08-29,495.89,164,34,1903.81,994,61,45,699,6,7,어드밴스드,9,4,1,0.92
김수진,hyeonjunna@hanmail.net,male,2009,2022-09-08,116.55,200,32,3762.65,68,90,4,661,8,7,베이직,7,4,1,0.12
